시도,시군구,행정번호,년도,평균연령,스트레스인지율
강원도,강원인제군,4281000000,2019,45,22
강원도,강원고성군,4282000000,2019,50.4,17.4
강원도,강원양양군,4283000000,2019,50.9,18.8
충청북도,충북청주상당구,4311100000,2019,42.4,26.8
충청북도,충북청주서원구,4311200000,2019,41.7,26.8
충청북도,충북청주흥덕구,4311300000,2019,39.4,26.8
충청북도,충북청주청원구,4311400000,2019,39.3,26.8
충청북도,충북충주시,4313000000,2019,45,27.1
충청북도,충북제천시,4315000000,2019,46,27.7
충청북도,충북보은군,4372000000,2019,53.2,33.9
충청북도,충북옥천군,4373000000,2019,50.3,23.6
충청북도,충북영동군,4374000000,2019,50.9,15.1
충청북도,충북증평군,4374500000,2019,42.5,29.1
충청북도,충북진천군,4375000000,2019,42.5,24.5
충청북도,충북괴산군,4376000000,2019,53.4,16.8
충청북도,충북음성군,4377000000,2019,46.2,27.3
충청북도,충북단양군,4380000000,2019,51.9,19.3
충청남도,충남천안동남구,4413100000,2019,41.4,33.2
충청남도,충남천안서북구,4413300000,2019,37.3,33.2
충청남도,충남공주시,4415000000,2019,48.3,28.7
충청남도,충남보령시,4418000000,2019,47.9,25.1
충청남도,충남아산시,4420000000,2019,39.7,25.9
충청남도,충남서산시,4421000000,2019,43.2,32.8
충청남도,충남논산시,4423000000,2019,48.1,27.8
충청남도,충남계룡시,4425000000,2019,39.2,23.9
충청남도,충남당진시,4427000000,2019,43.1,25.9
충청남도,충남금산군,4471000000,2019,50.8,25.8
충청남도,충남부여군,4476000000,2019,52.5,22.6
충청남도,충남서천군,4477000000,2019,53.3,31.4
충청남도,충남청양군,4479000000,2019,53.1,20.8
충청남도,충남홍성군,4480000000,2019,46,36.4
충청남도,충남예산군,4481000000,2019,51.1,33.7
충청남도,충남태안군,4482500000,2019,50.8,27.2
전라북도,전북전주완산구,4511100000,2019,42,27
전라북도,전북전주덕진구,4511300000,2019,40.3,27
전라북도,전북군산시,4513000000,2019,43.6,28.4
전라북도,전북익산시,4514000000,2019,44.2,25.6
전라북도,전북정읍시,4518000000,2019,48.5,26.1
전라북도,전북남원시,4519000000,2019,48.6,20
전라북도,전북김제시,4521000000,2019,50.9,20.9
전라북도,전북완주군,4571000000,2019,45.9,25.4
전라북도,전북진안군,4572000000,2019,52.7,17.6
전라북도,전북무주군,4573000000,2019,52.1,22.3
