년도,시도,시군구,환자수
2021,경북,봉화군,80
2021,경북,상주시,1061
2021,경북,성주군,99
2021,경북,안동시,2722
2021,경북,영덕군,224
2021,경북,영양군,0
2021,경북,영주시,1406
2021,경북,영천시,1486
2021,경북,예천군,83
2021,경북,울릉군,0
2021,경북,울진군,394
2021,경북,의성군,213
2021,경북,청도군,445
2021,경북,청송군,87
2021,경북,칠곡군,492
2021,경북,포항남구,3504
2021,경북,포항북구,5579
2021,광주,광주광산구,6704
2021,광주,광주남구,3360
2021,광주,광주동구,3183
2021,광주,광주북구,8746
2021,광주,광주서구,6760
2021,대구,대구남구,3174
2021,대구,대구달서구,12118
2021,대구,대구달성군,2274
2021,대구,대구동구,6183
2021,대구,대구북구,7136
2021,대구,대구서구,3228
2021,대구,대구수성구,12090
2021,대구,대구중구,4664
2021,대전,대전대덕구,2905
2021,대전,대전동구,3585
2021,대전,대전서구,12066
2021,대전,대전유성구,5444
2021,대전,대전중구,6866
2021,부산,부산강서구,1198
2021,부산,부산금정구,4038
2021,부산,부산기장군,3139
2021,부산,부산남구,5188
2021,부산,부산동구,4990
2021,부산,부산동래구,8005
2021,부산,부산북구,4189
2021,부산,부산사상구,3565
2021,부산,부산사하구,5068
2021,부산,부산서구,908
2021,부산,부산수영구,9878
2021,부산,부산연제구,4659
2021,부산,부산영도구,2383
2021,부산,부산중구,2212
2021,부산,부산진구,12973
2021,부산,부산해운대구,8460
2021,서울,강남구,28094
2021,서울,강동구,13863
2021,서울,강북구,4362
2021,서울,강서구,11269
2021,서울,관악구,12392
2021,서울,광진구,7902
2021,서울,구로구,9359
2021,서울,금천구,5590
2021,서울,노원구,9825
2021,서울,도봉구,4222
2021,서울,동대문구,7250
2021,서울,동작구,10467
2021,서울,마포구,16416
2021,서울,서대문구,7792
2021,서울,서초구,18079
2021,서울,성동구,5097
2021,서울,성북구,6248
2021,서울,송파구,16742
2021,서울,양천구,6551
2021,서울,영등포구,8858
2021,서울,용산구,3950
2021,서울,은평구,8597
2021,서울,종로구,12128
2021,서울,중구,6153
2021,서울,중랑구,8867
2021,세종,세종시,8347
2021,울산,울산남구,10169
2021,울산,울산동구,494
2021,울산,울산북구,608
2021,울산,울산울주군,1118
2021,울산,울산중구,3649
2021,인천,인천강화군,220
2021,인천,인천계양구,4866
2021,인천,인천남동구,9909
2021,인천,인천동구,702
2021,인천,인천미추홀구,6558
2021,인천,인천부평구,12470
2021,인천,인천서구,9523
2021,인천,인천연수구,3989
2021,인천,인천옹진군,0
2021,인천,인천중구,3979
2021,전남,강진군,136
2021,전남,고흥군,1855
2021,전남,곡성군,87
2021,전남,광양시,1165
2021,전남,구례군,58
2021,전남,나주시,996
2021,전남,담양군,365
2021,전남,목포시,6167
2021,전남,무안군,537
2021,전남,보성군,332
2021,전남,순천시,4059
2021,전남,신안군,28
2021,전남,여수시,3107
2021,전남,영광군,724
2021,전남,영암군,177
2021,전남,완도군,68
2021,전남,장성군,274
2021,전남,장흥군,228
2021,전남,진도군,79
2021,전남,함평군,164
2021,전남,해남군,1872
2021,전남,화순군,662
2021,전북,고창군,859
2021,전북,군산시,3011
2021,전북,김제시,1182
2021,전북,남원시,2114
2021,전북,무주군,34
2021,전북,부안군,805
2021,전북,순창군,265
2021,전북,완주군,432
2021,전북,익산시,3563
2021,전북,임실군,26
2021,전북,장수군,70
2021,전북,전주덕진구,6275
2021,전북,전주완산구,8287
2021,전북,정읍시,1405
2021,전북,진안군,107
2021,제주,서귀포시,2634
2021,제주,제주시,10856
2021,충남,계룡시,16
2021,충남,공주시,2857
2021,충남,금산군,988
2021,충남,논산시,3887
2021,충남,당진시,4515
2021,충남,보령시,1309
2021,충남,부여군,1692
2021,충남,서산시,1406
2021,충남,서천군,1161
2021,충남,아산시,4603
2021,충남,예산군,1737
2021,충남,천안동남구,5061
2021,충남,천안서북구,8694
2021,충남,청양군,349
2021,충남,태안군,641
2021,충남,홍성군,2039
2021,충북,괴산군,350
2021,충북,단양군,20
2021,충북,보은군,459
2021,충북,영동군,1094
2021,충북,옥천군,857
2021,충북,음성군,696
2021,충북,제천시,3918
2021,충북,증평군,590
2021,충북,진천군,1400
2021,충북,청주상당구,7140
2021,충북,청주서원구,4469
2021,충북,청주청원구,3318
2021,충북,청주흥덕구,5396
2021,충북,충주시,3598
2022,강원,강릉시,5900
2022,강원,고성군,0
2022,강원,동해시,1405
2022,강원,삼척시,1593
2022,강원,속초시,1711
2022,강원,양구군,46
2022,강원,양양군,118
2022,강원,영월군,197
2022,강원,원주시,8467
2022,강원,인제군,0
2022,강원,정선군,33
2022,강원,철원군,26
2022,강원,춘천시,6819
2022,강원,태백시,194
2022,강원,평창군,256
2022,강원,홍천군,1694
2022,강원,화천군,12
2022,강원,횡성군,132
2022,경기,가평군,589
2022,경기,고양덕양구,6031
2022,경기,고양일산동구,9470
2022,경기,고양일산서구,9655
2022,경기,과천시,32
2022,경기,광명시,6559
2022,경기,광주시,4288
2022,경기,구리시,6092
2022,경기,군포시,6066
2022,경기,김포시,4495
2022,경기,남양주시,12336
2022,경기,동두천시,2443
2022,경기,부천시,17492
2022,경기,성남분당구,24329
2022,경기,성남수정구,5337
2022,경기,성남중원구,4434
2022,경기,수원권선구,3444
2022,경기,수원영통구,7425
2022,경기,수원장안구,4869
2022,경기,수원팔달구,11240
2022,경기,시흥시,7091
